time,acc_x,acc_y,acc_z,local_lo,local_la,py_lo,py_la,
1.52629E+12,0.041015625,-0.0390625,1.01550293,17.2833198,62.3954872,-1,,
1.52629E+12,0.060546875,-0.061889648,1.012329102,17.2833198,62.3954873,-1,,
1.52629E+12,0.051635742,-0.064819336,0.983276367,17.2833198,62.3954873,-1,,
1.52629E+12,0.040527344,-0.03894043,1.002685547,17.2833198,62.3954873,-1,,
1.52629E+12,0.038452148,-0.032714844,1.012939453,17.2833198,62.3954873,-1,,
1.52629E+12,0.05456543,-0.062011719,0.982666016,17.2833198,62.3954873,-1,,
1.52629E+12,0.065063477,-0.05090332,0.996704102,17.2833198,62.3954873,-1,,
1.52629E+12,0.042114258,-0.03894043,1.002807617,17.2833198,62.3954873,-1,,
1.52629E+12,0.040893555,-0.036010742,1.013305664,17.2833198,62.3954873,-1,,
1.52629E+12,0.057128906,-0.061889648,0.988037109,17.2833198,62.3954873,-1,,
1.52629E+12,0.056396484,-0.043212891,0.998779297,17.2833198,62.3954873,-1,,
1.52629E+12,0.038452148,-0.036254883,1.0078125,17.2833198,62.3954874,-1,,
1.52629E+12,0.049560547,-0.056762695,1.007446289,17.2833198,62.3954874,-1,,
1.52629E+12,0.059814453,-0.061157227,0.991943359,17.2833198,62.3954874,-1,,
1.52629E+12,0.045166016,-0.034423828,1.012451172,17.2833198,62.3954874,-1,,
1.52629E+12,0.053710938,-0.0703125,0.993164063,17.2833198,62.3954874,-1,,
1.52629E+12,0.059814453,-0.060180664,1.00012207,17.2833198,62.3954874,-1,,
1.52629E+12,0.044189453,-0.030151367,1.008422852,17.2833198,62.3954874,-1,,
1.52629E+12,0.047851563,-0.051635742,1.013549805,17.2833198,62.3954874,-1,,
1.52629E+12,0.058837891,-0.049194336,1.004882813,17.2833198,62.3954874,-1,,
1.52629E+12,0.044799805,-0.028564453,1.01550293,17.2833198,62.3954874,-1,,
1.52629E+12,0.051391602,-0.066650391,0.998413086,17.2833198,62.3954874,-1,,
1.52629E+12,0.063232422,-0.058227539,0.991088867,17.2833198,62.3954874,-1,,
1.52629E+12,0.047363281,-0.030761719,1.009643555,17.2833198,62.3954874,-1,,
1.52629E+12,0.052368164,-0.068237305,0.982666016,17.2833198,62.3954874,-1,,
1.52629E+12,0.055053711,-0.041870117,0.99621582,17.2833198,62.3954874,-1,,
1.52629E+12,0.051269531,-0.06652832,0.986694336,17.2833198,62.3954874,-1,,
1.52629E+12,0.052856445,-0.054321289,1.002685547,17.2833198,62.3954874,-1,,
1.52629E+12,0.051269531,-0.039306641,1.024902344,17.2833198,62.3954874,-1,,
1.52629E+12,0.056152344,-0.065307617,0.997436523,17.2833198,62.3954874,-1,,
1.52629E+12,0.048583984,-0.041748047,1.020141602,17.2833198,62.3954874,-1,,
1.52629E+12,0.059326172,-0.063476563,0.982177734,17.2833198,62.3954874,-1,,
1.52629E+12,0.045776367,-0.036254883,1.006347656,17.2833198,62.3954874,-1,,
1.52629E+12,0.05065918,-0.059936523,1.005126953,17.2833198,62.3954874,-1,,
1.52629E+12,0.042114258,-0.032958984,1.008789063,17.2833198,62.3954874,-1,,
1.52629E+12,0.046020508,-0.060791016,0.998535156,17.2833198,62.3954874,-1,,
1.52629E+12,0.057983398,-0.056152344,0.991577148,17.2833198,62.3954874,-1,,
1.52629E+12,0.049316406,-0.062988281,0.986328125,17.2833199,62.3954874,-1,,
